strategy,question_id,question,router_reason_code,route,pipeline_config,refused,retrieved_chunk_ids,hit_at_5,reciprocal_rank,ndcg_at_5,latency_ms,cost_status,cost_amount_usd,input_tokens,output_tokens,total_tokens,token_source,pricing_source,price_table_id
always_fast,sqa-22853a3ab950cd44,What does FastAPI read from the request body when you declare a Python type?,,FAST,dense_baseline,False,"[""a777bdaf-3ec5-54df-988e-0ae68239000b"",""fb7d5f13-d820-570f-b1f8-2623cd70b88f""]",0.0,0.0,0.0,24009.478855005,estimated,3.21e-05,578,8,586,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_careful,sqa-22853a3ab950cd44,What does FastAPI read from the request body when you declare a Python type?,,CAREFUL,hybrid_rrf_cross_encoder,False,"[""13ef7f2b-1f00-5309-bd90-b6e3e44bfab2"",""155b2949-7971-596e-9884-bf9670585371"",""599b482a-07e9-5fe2-9dff-bd6b2266815f"",""e1fc917b-9df3-5c3f-9efe-3e64e59ea1f6"",""383f44b8-6656-5cac-83dd-8a080d8136ad""]",0.0,0.0,0.0,13710.58853098657,estimated,6.085000000000001e-05,1153,8,1161,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
routed,sqa-22853a3ab950cd44,What does FastAPI read from the request body when you declare a Python type?,score_gap_below_careful_threshold,CAREFUL,hybrid_rrf_cross_encoder,False,"[""13ef7f2b-1f00-5309-bd90-b6e3e44bfab2"",""155b2949-7971-596e-9884-bf9670585371"",""599b482a-07e9-5fe2-9dff-bd6b2266815f"",""e1fc917b-9df3-5c3f-9efe-3e64e59ea1f6"",""383f44b8-6656-5cac-83dd-8a080d8136ad""]",0.0,0.0,0.0,37720.06738599157,estimated,6.085000000000001e-05,1153,8,1161,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_fast,sqa-9214bfc1978670e0,What happens if the submitted data is invalid?,,FAST,dense_baseline,False,"[""546a9186-f12c-5e10-bd7d-c5a1bbbfb3f9"",""bf3840ad-9cfd-5379-9708-385d0a0fd4b4""]",0.0,0.0,0.0,97.71519299829379,estimated,1.46e-05,100,24,124,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_careful,sqa-9214bfc1978670e0,What happens if the submitted data is invalid?,,CAREFUL,hybrid_rrf_cross_encoder,False,"[""cb4cd8b6-6c0d-535e-ac26-f6b00cfe2335"",""1b9409ba-8c9b-58e3-8c60-5e7cef4b078d"",""740d8ee2-e19c-5d78-98c6-31f8dac39afc"",""62e130d4-4444-5ddc-976d-1f0df6a82670"",""560c96db-fdf3-584d-9c59-6d982afdd66e""]",1.0,1.0,1.0,3294.5018140017055,estimated,5.975000000000001e-05,1003,24,1027,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
routed,sqa-9214bfc1978670e0,What happens if the submitted data is invalid?,top_score_below_no_answer_threshold,NO_ANSWER,,True,[],0.0,0.0,0.0,97.71519299829379,zero_cost,0.0,0,0,0,not_applicable,not_applicable,
always_fast,sqa-bd90c5a97e0740e5,What schemas are generated for your model and where can you use them?,,FAST,dense_baseline,False,"[""8df8da26-e2fa-5b29-99d4-b5dae8103bac"",""d14691c9-067a-5272-a4c6-b915ea2ad12d""]",0.0,0.0,0.0,144.39301600214094,estimated,2.375e-05,259,27,286,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_careful,sqa-bd90c5a97e0740e5,What schemas are generated for your model and where can you use them?,,CAREFUL,hybrid_rrf_cross_encoder,False,"[""ee148e49-27f1-50bb-9cd4-1a3263497bc1"",""cb4cd8b6-6c0d-535e-ac26-f6b00cfe2335"",""7890a970-7397-54bd-9b74-1eb6382373b3"",""580289f2-16e0-55de-985e-e56614722357"",""f5e032f2-4362-5793-a19e-2eee4c5b523c""]",1.0,0.5,0.6309297535714575,3288.034280005377,estimated,7.984999999999999e-05,1381,27,1408,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
routed,sqa-bd90c5a97e0740e5,What schemas are generated for your model and where can you use them?,standard_fallback,STANDARD,dense_baseline,False,"[""8df8da26-e2fa-5b29-99d4-b5dae8103bac"",""d14691c9-067a-5272-a4c6-b915ea2ad12d"",""bc61dba4-a0d1-58e2-a46b-26e623d65fa6"",""23f71e8b-5e03-5953-adc4-861ed3d5bc12"",""aef1f0dd-d983-5081-80ea-49fdc787db37"",""eaf9e709-f0cb-55c9-b656-de6f47f19f86"",""b974d384-0c75-58cb-b297-7423ac691b99"",""5e6681ea-7f02-5200-be3a-2d49f66dc6c6"",""df909fca-3fb7-54ae-bca3-dbdaf286ac6b"",""a2cdbd99-142e-58ce-bd1f-467fae09ee28""]",0.0,0.0,0.0,288.7860320042819,estimated,8.925e-05,1569,27,1596,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_fast,sqa-8111f18ad4679ac4,"Which nested field key is used in the HTTP, Python, TypeScript, Rust, and Java examples to specify the sightseeing condition?",,FAST,dense_baseline,False,"[""0125f6dd-23cf-5f1a-9e64-c85049837518"",""6ba1e29f-9e70-57bc-8ada-65ef002bb98c""]",0.0,0.0,0.0,185.77379803173244,estimated,0.000103,2004,7,2011,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_careful,sqa-8111f18ad4679ac4,"Which nested field key is used in the HTTP, Python, TypeScript, Rust, and Java examples to specify the sightseeing condition?",,CAREFUL,hybrid_rrf_cross_encoder,False,"[""7e9e7236-ca01-5866-8733-4673a8333d42"",""7fa20fa6-bb3b-5f2a-833b-662137689ec1"",""19c1767f-1ff3-522b-8183-2c5b2a5523b2"",""ddc4a2f7-ceb0-5fb1-a906-f0521bc57255"",""c2a5b047-04d6-5e57-9e0b-584f785701cd""]",1.0,0.25,0.43067655807339306,6220.435358001851,estimated,0.00016385000000000003,3221,7,3228,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
routed,sqa-8111f18ad4679ac4,"Which nested field key is used in the HTTP, Python, TypeScript, Rust, and Java examples to specify the sightseeing condition?",top_score_below_no_answer_threshold,NO_ANSWER,,True,[],0.0,0.0,0.0,185.77379803173244,zero_cost,0.0,0,0,0,not_applicable,not_applicable,
always_fast,sqa-e27ab4d10e8d4e5f,"In the Go client initialization, what host and port are configured?",,FAST,dense_baseline,False,"[""e7dded3e-c071-50b1-b3d9-ef34c8c3af9d"",""757f5ceb-4f2c-5fdf-b3a6-c352241766b2""]",0.0,0.0,0.0,99.76919100154191,estimated,9.9e-06,142,7,149,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
