question_id,question,query_type,split,category,top_score,score_gap,route,reason_code,refused,correct
gqa-031,How do I create and apply a migration with the Django ORM?,unsupported,calibration,near_domain_technology,0.4572904,0.00018514999999996729,NO_ANSWER,top_score_below_no_answer_threshold,True,True
gqa-032,How should I configure namespaces and metadata filtering in Pinecone?,unsupported,calibration,near_domain_technology,0.48581672,0.014818319999999996,NO_ANSWER,top_score_below_no_answer_threshold,True,True
gqa-033,How do I define and launch a hyperparameter sweep in Weights & Biases?,unsupported,calibration,near_domain_technology,0.5302763,0.02283365000000004,NO_ANSWER,top_score_below_no_answer_threshold,True,True
gqa-034,Which Redis eviction policy should I choose for a write-heavy cache?,unsupported,calibration,near_domain_technology,0.44578928,0.012108920000000023,NO_ANSWER,top_score_below_no_answer_threshold,True,True
gqa-035,What are the recommended adult dosages and side effects of ibuprofen?,unsupported,calibration,high_stakes_out_of_scope,0.37081277,0.14504233000000002,NO_ANSWER,top_score_below_no_answer_threshold,True,True
day39-001,How do I configure blueprints and application factories in Flask?,unsupported,evaluation,near_domain_technology,0.50113547,0.015753210000000017,NO_ANSWER,top_score_below_no_answer_threshold,True,True
day39-002,How do I define schema and multi-tenancy in Weaviate?,unsupported,evaluation,near_domain_technology,0.5156742,0.039930969999999955,NO_ANSWER,top_score_below_no_answer_threshold,True,True
day39-003,How should I set partition keys and consistency in Apache Cassandra?,unsupported,evaluation,near_domain_technology,0.45859376,0.025141000000000024,NO_ANSWER,top_score_below_no_answer_threshold,True,True
day39-004,How do I configure Redux Toolkit state persistence in React?,unsupported,evaluation,near_domain_technology,0.3132227,0.01600050000000003,NO_ANSWER,top_score_below_no_answer_threshold,True,True
day39-005,What Terraform resources create a private AWS VPC with NAT gateways?,unsupported,evaluation,near_domain_technology,0.41723347,0.010373829999999973,NO_ANSWER,top_score_below_no_answer_threshold,True,True
day39-006,How do I configure Kafka consumer offsets and retention?,unsupported,evaluation,near_domain_technology,0.49200958,0.014377709999999988,NO_ANSWER,top_score_below_no_answer_threshold,True,True
day39-007,What acetaminophen dose is safe for a child with fever?,unsupported,evaluation,high_stakes_out_of_scope,0.2304779,0.020068800000000026,NO_ANSWER,top_score_below_no_answer_threshold,True,True
sqa-22853a3ab950cd44,What does FastAPI read from the request body when you declare a Python type?,supported,supported_evidence,supported,0.748176,0.0003641999999999257,CAREFUL,score_gap_below_careful_threshold,False,True
sqa-9214bfc1978670e0,What happens if the submitted data is invalid?,supported,supported_evidence,supported,0.4645424,0.10610260000000005,NO_ANSWER,top_score_below_no_answer_threshold,True,False
sqa-bd90c5a97e0740e5,What schemas are generated for your model and where can you use them?,supported,supported_evidence,supported,0.5727953,0.027608069999999985,STANDARD,standard_fallback,False,True
sqa-8111f18ad4679ac4,"Which nested field key is used in the HTTP, Python, TypeScript, Rust, and Java examples to specify the sightseeing condition?",supported,supported_evidence,supported,0.46337634,0.044438299999999986,NO_ANSWER,top_score_below_no_answer_threshold,True,False
sqa-e27ab4d10e8d4e5f,"In the Go client initialization, what host and port are configured?",supported,supported_evidence,supported,0.5769328,0.01777709999999999,STANDARD,standard_fallback,False,True
sqa-54a24f6e54a73e24,What HTTP endpoint is shown for scrolling points in a collection?,supported,supported_evidence,supported,0.59412396,0.07409356,STANDARD,standard_fallback,False,True
sqa-2312659ece1beeb0,Name two advantages of using UploadFile over bytes.,supported,supported_evidence,supported,0.5377034,0.024522970000000033,CAREFUL,top_score_below_careful_threshold,False,True
sqa-8f550fc0f0c97fdf,What happens to a file once its in-memory size limit is exceeded when using UploadFile?,supported,supported_evidence,supported,0.5636903,0.07563283999999998,STANDARD,standard_fallback,False,True
sqa-6de296cda91f5dc6,What kind of interface does UploadFile expose?,supported,supported_evidence,supported,0.5802899,0.03669524000000002,STANDARD,standard_fallback,False,True
sqa-220fbcfa80439038,What Python object does UploadFile expose that can be passed to libraries expecting a file-like object?,supported,supported_evidence,supported,0.71125466,0.038999960000000056,STANDARD,standard_fallback,False,True
sqa-7f4b9c901bcac8d2,What file format does MLflow use for saving models from a variety of tools?,supported,supported_evidence,supported,0.76627666,0.013218560000000101,STANDARD,standard_fallback,False,True
sqa-806e7d79beff73b8,Which MLflow flavor can log scikit-learn models as artifacts for serving?,supported,supported_evidence,supported,0.761984,0.06081546000000004,FAST,fast_conditions_satisfied,False,True
sqa-43e609692540e39f,What is the exact MLflow command to serve a model located at runs:/<RUN_ID>/model?,supported,supported_evidence,supported,0.81895375,0.0008796500000000096,CAREFUL,score_gap_below_careful_threshold,False,True
sqa-fe6afefa50c92384,What does an MLmodel file declare about each model to enable serving it as a Python function?,supported,supported_evidence,supported,0.68772745,0.019730350000000008,STANDARD,standard_fallback,False,True
sqa-ebcd24ac3da514b9,What HTTP method and path are used to observe the cluster state after synchronization?,supported,supported_evidence,supported,0.5179317,0.004642959999999974,NO_ANSWER,top_score_below_no_answer_threshold,True,False
sqa-100e77a31882d05f,What does the API return in the response when a browser creates a user with a password using the same input/output model in this example?,supported,supported_evidence,supported,0.5413469,0.025990499999999916,CAREFUL,top_score_below_careful_threshold,False,True
sqa-50e37593177ea153,What warning is given about handling a plain password in this section?,supported,supported_evidence,supported,0.46909943,0.0008868300000000051,NO_ANSWER,top_score_below_no_answer_threshold,True,False
sqa-dc321a1b57e8d142,Which library should be installed to use EmailStr according to the document?,supported,supported_evidence,supported,0.41744244,0.06173274000000001,NO_ANSWER,top_score_below_no_answer_threshold,True,False
sqa-9ec13a094bedbaf2,What is the data type of request_time?,supported,supported_evidence,supported,0.67349607,0.11536226999999999,STANDARD,standard_fallback,False,True
sqa-1333a2c4d6953cf4,What happens to the request_preview size and where is the full request stored?,supported,supported_evidence,supported,0.48694414,0.010857820000000018,NO_ANSWER,top_score_below_no_answer_threshold,True,False
sqa-7115fc46a1555f1a,What is one alternative to class-based decision making?,supported,supported_evidence,supported,0.3018593,0.00032039999999999846,NO_ANSWER,top_score_below_no_answer_threshold,True,False
sqa-7f32d3b5b1a89fbf,What intermediate representation is needed to implement similarity learning quickly?,supported,supported_evidence,supported,0.6495507,0.06757760000000002,CAREFUL,long_token_ratio_at_least_careful_threshold,False,True
sqa-c550d812bb5272e0,Which distance measures are given as examples for calculating similarity between embeddings?,supported,supported_evidence,supported,0.6597541,0.032309800000000055,CAREFUL,long_token_ratio_at_least_careful_threshold,False,True
sqa-c00b9f531d2e5586,"Which file contains the information required to restore the model environment using virtualenv, and what three things does it specify?",supported,supported_evidence,supported,0.64422697,0.14515459999999997,STANDARD,standard_fallback,False,True
sqa-5c5e20dbf84c3f0b,What operation is used to quantify the similarity between the query and document vectors?,supported,supported_evidence,supported,0.7576176,0.06887149999999997,STANDARD,standard_fallback,False,True
sqa-ade53f89f8629636,Which standards can be used to establish a secure authentication setup in FastAPI according to the tutorial recap?,supported,supported_evidence,supported,0.66909003,0.022113229999999984,STANDARD,standard_fallback,False,True
sqa-52abd01126658d4e,Which specific third-party packages are mentioned as easily usable with FastAPI for security handling?,supported,supported_evidence,supported,0.7491087,0.04985379999999995,CAREFUL,long_token_ratio_at_least_careful_threshold,False,True
sqa-9bbefdf430f9c31f,What mechanism is used to implement a fine-grained permission system in FastAPI?,supported,supported_evidence,supported,0.6665945,0.04264619999999997,STANDARD,standard_fallback,False,True
sqa-5c5e1373d68176f8,How does MLflow determine the input and output schema when logging a PythonModel that includes type hints?,supported,supported_evidence,supported,0.8521882,0.02994679999999994,CAREFUL,clause_marker_count_at_least_careful_threshold,False,True
sqa-4d1f9fc474b0154c,What occurs if an explicit signature parameter is provided when logging a PythonModel with type hints?,supported,supported_evidence,supported,0.7379672,0.028855900000000045,STANDARD,standard_fallback,False,True
sqa-ceaead1685abb224,Where must pydantic model type hints be defined to use pydantic objects as inputs for an MLflow PythonModel?,supported,supported_evidence,supported,0.8175288,0.0564167000000001,STANDARD,standard_fallback,False,True
